"time","channel","proportion","index","move","Movement","proportiontext","move1","movevalue","proportionzero"
21,"ATM",0.09,86,-0.02,"Decrease",9,-2,-2,0
21,"APP",0.21,87,0,"NoMove",21,0,0,0
21,"Internet_Banking",0.69,88,0.0099999999999999,"Increase",69,0.99999999999999,0.99999999999999,0.0099999999999999
22,"Teller",0,89,0,"NoMove",0,0,0,0
22,"ATM",0.09,90,0,"NoMove",9,0,0,0
22,"APP",0.21,91,0,"NoMove",21,0,0,0
22,"Internet_Banking",0.7,92,0.01,"Increase",70,1,1,0.01
23,"Teller",0,93,0,"NoMove",0,0,0,0
23,"ATM",0.08,94,-0.01,"Decrease",8,-1,-1,0
23,"APP",0.22,95,0.01,"Increase",22,1,1,0.01
23,"Internet_Banking",0.69,96,-0.01,"Decrease",69,-1,-1,0
